Node,VRF,Network,Next_Hop,Next_Hop_IP,Next_Hop_Interface,Protocol,Metric,Admin_Distance,Tag
r2a1,default,10.24.0.0/24,,AUTO/NONE(-1l),FastEthernet0/0,connected,0,0,
r3a1,default,10.13.0.0/24,,AUTO/NONE(-1l),FastEthernet0/0,connected,0,0,
r5a1,default,10.0.0.4/32,r4a1,10.45.0.1,dynamic,ospf,2,110,
r3a1,default,10.0.0.1/32,r1a1,10.13.0.1,dynamic,ospf,2,110,
r4a1,default,10.24.0.0/24,,AUTO/NONE(-1l),FastEthernet0/0,connected,0,0,
r1a1,default,10.0.0.2/32,r3a1,10.13.0.2,dynamic,ospf,4,110,
r1a1,default,10.34.0.0/24,r3a1,10.13.0.2,dynamic,ospf,2,110,
r2a1,default,10.24.0.1/32,,AUTO/NONE(-1l),FastEthernet0/0,local,0,0,
r4a1,default,10.0.0.2/32,r2a1,10.24.0.1,dynamic,ospf,2,110,
r1a1,default,10.15.0.0/24,,AUTO/NONE(-1l),FastEthernet1/0,connected,0,0,
r4a1,default,10.35.0.0/24,r5a1,10.45.0.2,dynamic,ospf,2,110,
r2a1,default,10.0.0.1/32,r4a1,10.24.0.2,dynamic,ospf,4,110,
r3a1,default,10.13.0.2/32,,AUTO/NONE(-1l),FastEthernet0/0,local,0,0,
r1a1,default,10.0.0.2/32,r5a1,10.15.0.2,dynamic,ospf,4,110,
r1a1,default,10.0.0.0/8,,AUTO/NONE(-1l),null_interface,static,0,1,
r2a1,default,10.34.0.0/24,r4a1,10.24.0.2,dynamic,ospf,2,110,
r4a1,default,10.24.0.2/32,,AUTO/NONE(-1l),FastEthernet0/0,local,0,0,
r3a1,default,10.34.0.0/24,,AUTO/NONE(-1l),FastEthernet0/1,connected,0,0,
r1a1,default,10.15.0.1/32,,AUTO/NONE(-1l),FastEthernet1/0,local,0,0,
r3a1,default,10.15.0.0/24,r5a1,10.35.0.2,dynamic,ospf,2,110,
r2a1,default,10.15.0.0/24,r4a1,10.24.0.2,dynamic,ospf,3,110,
r3a1,default,200.0.0.0/20,r1a1,10.0.0.1,dynamic,ibgp,0,200,
r1a1,default,10.0.0.3/32,r3a1,10.13.0.2,dynamic,ospf,2,110,
r1a1,default,200.0.0.0/20,r1a200,179.0.0.2,dynamic,bgp,0,20,
r5a1,default,10.0.0.5/32,,AUTO/NONE(-1l),Loopback1,connected,0,0,
r1a200,default,179.0.0.0/24,,AUTO/NONE(-1l),FastEthernet0/0,connected,0,0,
r5a1,default,10.0.0.0/8,r1a1,10.0.0.1,dynamic,ibgp,0,200,
r2a1,default,10.35.0.0/24,r4a1,10.24.0.2,dynamic,ospf,3,110,
r4a1,default,10.0.0.0/8,r1a1,10.0.0.1,dynamic,ibgp,0,200,
r3a1,default,10.0.0.2/32,r4a1,10.34.0.2,dynamic,ospf,3,110,
r3a1,default,10.45.0.0/24,r4a1,10.34.0.2,dynamic,ospf,2,110,
r5a1,default,10.13.0.0/24,r1a1,10.15.0.1,dynamic,ospf,2,110,
r3a1,default,10.34.0.1/32,,AUTO/NONE(-1l),FastEthernet0/1,local,0,0,
r2a1,default,10.0.0.0/8,r1a1,10.0.0.1,dynamic,ibgp,0,200,
r4a1,default,10.15.0.0/24,r5a1,10.45.0.2,dynamic,ospf,2,110,
r3a1,default,10.35.0.1/32,,AUTO/NONE(-1l),FastEthernet1/0,local,0,0,
r1a1,default,10.0.0.1/32,,AUTO/NONE(-1l),Loopback1,connected,0,0,
r4a1,default,10.34.0.2/32,,AUTO/NONE(-1l),FastEthernet0/1,local,0,0,
r1a1,default,10.35.0.0/24,r3a1,10.13.0.2,dynamic,ospf,2,110,
r1a200,default,10.0.0.0/8,r1a1,179.0.0.1,dynamic,bgp,0,20,
r1a1,default,10.24.0.0/24,r3a1,10.13.0.2,dynamic,ospf,3,110,
r4a1,default,10.0.0.1/32,r3a1,10.34.0.1,dynamic,ospf,3,110,
r5a1,default,10.45.0.2/32,,AUTO/NONE(-1l),FastEthernet1/0,local,0,0,
r2a1,default,10.13.0.0/24,r4a1,10.24.0.2,dynamic,ospf,3,110,
r2a1,default,10.0.0.2/32,,AUTO/NONE(-1l),Loopback1,connected,0,0,
r1a1,default,10.0.0.4/32,r3a1,10.13.0.2,dynamic,ospf,3,110,
r2a1,default,200.0.0.0/20,,AUTO/NONE(-1l),null_interface,static,0,1,
r1a1,default,10.24.0.0/24,r5a1,10.15.0.2,dynamic,ospf,3,110,
r1a1,default,10.0.0.5/32,r5a1,10.15.0.2,dynamic,ospf,2,110,
r5a1,default,10.0.0.2/32,r4a1,10.45.0.1,dynamic,ospf,3,110,
r1a1,default,10.45.0.0/24,r5a1,10.15.0.2,dynamic,ospf,2,110,
r5a1,default,10.15.0.0/24,,AUTO/NONE(-1l),FastEthernet0/0,connected,0,0,
r3a1,default,10.0.0.5/32,r5a1,10.35.0.2,dynamic,ospf,2,110,
r4a1,default,10.45.0.1/32,,AUTO/NONE(-1l),FastEthernet1/0,local,0,0,
r5a1,default,10.34.0.0/24,r3a1,10.35.0.1,dynamic,ospf,2,110,
r2a1,default,10.0.0.4/32,r4a1,10.24.0.2,dynamic,ospf,2,110,
r5a1,default,10.35.0.2/32,,AUTO/NONE(-1l),FastEthernet0/1,local,0,0,
r4a1,default,10.13.0.0/24,r3a1,10.34.0.1,dynamic,ospf,2,110,
r5a1,default,10.0.0.3/32,r3a1,10.35.0.1,dynamic,ospf,2,110,
r3a1,default,10.0.0.3/32,,AUTO/NONE(-1l),Loopback1,connected,0,0,
r4a1,default,10.34.0.0/24,,AUTO/NONE(-1l),FastEthernet0/1,connected,0,0,
r5a1,default,10.15.0.2/32,,AUTO/NONE(-1l),FastEthernet0/0,local,0,0,
r5a1,default,10.35.0.0/24,,AUTO/NONE(-1l),FastEthernet0/1,connected,0,0,
r1a1,default,10.13.0.1/32,,AUTO/NONE(-1l),FastEthernet0/1,local,0,0,
r2a1,default,10.0.0.3/32,r4a1,10.24.0.2,dynamic,ospf,3,110,
r5a1,default,10.45.0.0/24,,AUTO/NONE(-1l),FastEthernet1/0,connected,0,0,
r3a1,default,10.35.0.0/24,,AUTO/NONE(-1l),FastEthernet1/0,connected,0,0,
r1a1,default,179.0.0.1/32,,AUTO/NONE(-1l),FastEthernet0/0,local,0,0,
r3a1,default,10.45.0.0/24,r5a1,10.35.0.2,dynamic,ospf,2,110,
r4a1,default,10.0.0.5/32,r5a1,10.45.0.2,dynamic,ospf,2,110,
r4a1,default,10.45.0.0/24,,AUTO/NONE(-1l),FastEthernet1/0,connected,0,0,
r5a1,default,10.34.0.0/24,r4a1,10.45.0.1,dynamic,ospf,2,110,
r1a1,default,10.13.0.0/24,,AUTO/NONE(-1l),FastEthernet0/1,connected,0,0,
r5a1,default,10.13.0.0/24,r3a1,10.35.0.1,dynamic,ospf,2,110,
r3a1,default,10.15.0.0/24,r1a1,10.13.0.1,dynamic,ospf,2,110,
r5a1,default,10.0.0.1/32,r1a1,10.15.0.1,dynamic,ospf,2,110,
r2a1,default,10.0.0.5/32,r4a1,10.24.0.2,dynamic,ospf,3,110,
r1a1,default,179.0.0.0/24,,AUTO/NONE(-1l),FastEthernet0/0,connected,0,0,
r3a1,default,10.0.0.0/8,r1a1,10.0.0.1,dynamic,ibgp,0,200,
r1a200,default,200.0.0.0/20,,AUTO/NONE(-1l),null_interface,static,0,1,
r4a1,default,200.0.0.0/20,r1a1,10.0.0.1,dynamic,ibgp,0,200,
